Episode,Reward
566,-913.6611558065749
567,-809.1508205742897
568,-813.4006010013962
569,-1146.1265864955953
570,-870.7510928838142
571,-945.4701811213158
572,-1074.0986022722655
573,-1494.9738632500148
574,-1701.474816624556
575,-976.147297200069
576,-1718.0596108518332
577,-825.3255406169433
578,-1295.4648077498284
579,-1315.153158134225
580,-872.251580319314
581,-1166.1038373233928
582,-1344.3563972164393
583,-1625.166835322677
584,-809.1847850643528
585,-966.9443965693082
586,-1221.6799054179776
587,-1556.997074057483
588,-1560.2070406657406
589,-773.8289878109933
590,-1367.1719315600096
591,-1259.45265371324
592,-1543.0482284334323
593,-1567.180194212057
594,-1516.9050305984151
595,-935.4785903485824
596,-814.990895570136
597,-955.6240911054357
598,-1279.941785962363
599,-1001.8850125022664
600,-1539.2835810929816
601,-946.6927291933488
602,-1590.0136225100619
603,-1022.2690848803484
604,-867.9344036456406
605,-774.7554926353669
606,-704.1409184699356
607,-926.1611340478983
608,-943.3173302749267
609,-737.2917000967803
610,-1538.0603531701538
611,-869.938467909191
612,-891.1675369213315
613,-966.4026129682002
614,-825.0319992617572
615,-1554.5098524750642
616,-1041.7198472293856
617,-1440.2815460659474
618,-1658.376370038333
619,-971.3881217577745
620,-1175.3548718226261
621,-1649.7718383037904
622,-1511.3010747189285
623,-1231.3647282573295
624,-990.0809532792883
625,-1049.2709437018593
626,-1567.3903113947783
627,-700.5924684882362
628,-1539.2444191107918
629,-1065.1867557641078
630,-1038.9271182337218
631,-827.290544905513
632,-1562.3676688477492
633,-1025.8423705529183
634,-1311.5490566299004
635,-1145.190899568976
636,-1700.0211190259765
637,-824.4385982540616
638,-797.9277862611128
639,-1420.1684717434048
640,-820.2567450102554
641,-684.420627385835
642,-1076.358137142932
643,-929.4052162147779
644,-945.0400620600922
645,-695.4163860935582
646,-1295.9926019674087
647,-1593.394958391344
648,-1184.6408431162708
649,-1465.0227388170167
650,-1375.0371369777843
651,-1542.310147502845
652,-1522.001844636006
653,-743.5636653771269
654,-1344.3147365867878
655,-710.8511768574795
656,-1611.8305932046023
657,-836.6177883567633
658,-1039.3984894416326
659,-1157.2229742877107
660,-1327.7968420587476
661,-1374.8054112224315
662,-833.9976209148408
663,-840.845694819886
664,-841.6363406027422
665,-1612.9067763233036
666,-827.2703926457367
667,-813.2121434575423
668,-1026.9565478688774
669,-1151.9848965128324
670,-735.0928196476802
671,-974.4760625959946
672,-828.7287215483074
673,-708.2927191198381
674,-910.4376388412968
675,-1022.148822612953
676,-837.3161318170473
677,-1468.047707769423
678,-936.3361112604389
679,-1121.0210436439463
680,-815.1594328234538
681,-683.6357020865292
682,-1045.072198441594
683,-1583.093492738199
684,-801.9953079117007
685,-988.9453230542631
686,-870.687571136329
687,-1283.8673964186346
688,-722.2145193645625
689,-1098.791377236719
690,-822.3271587121127
691,-1047.5315128952354
692,-1439.9120030695335
693,-916.4574969640214
694,-848.6064339146861
695,-799.7351069186121
696,-922.6032606873775
697,-732.0218949406195
698,-816.1952887627945
699,-774.7157575555104
700,-807.8080234234739
701,-809.9961200744659
702,-1050.590983507251
703,-808.0258829321215
704,-957.0415132425253
705,-929.5414940925449
706,-948.6783413562032
707,-1536.4732265472908
708,-1510.7316527138078
709,-918.279784198448
710,-1343.1725905352089
711,-1030.4287179987066
712,-1087.6390930334167
713,-914.2573490336888
714,-1147.725247545275
715,-1144.4658133259516
716,-939.1659357931538
717,-1567.9009039644923
718,-1577.9771832065253
719,-1523.9434552167047
720,-963.6437575822022
721,-931.479580589908
722,-1710.9825965249047
723,-1626.444838703306
724,-991.7314779476454
725,-916.9434144599696
726,-791.3638869993599
727,-1516.9975683572047
728,-1437.3125897794687
729,-1282.0307735153913
730,-925.6433778985926
731,-1074.4609570691605
732,-1246.4027081064312
733,-1172.1608119851257
734,-923.913804832332
735,-1402.5203443394437
736,-993.1554779183527
737,-863.6979429346325
738,-797.2593019903303
739,-803.4323364930073
740,-818.4249523183935
741,-1554.3253490759973
742,-1169.4649273081036
743,-818.8526624614734
744,-600.529934928784
745,-1588.9802639305078
746,-1191.1615787783549
747,-932.4594112507227
748,-1291.278412238062
749,-891.3534807862428
750,-1469.917383343018
751,-710.4204477649992
752,-1025.7880933639485
753,-810.3273141230623
754,-1033.4616243667438
755,-820.0976497770743
756,-856.9018838897371
757,-953.1993547655205
758,-815.8364697937885
759,-974.9573026265919
760,-1189.2895870855323
761,-1556.025397359227
762,-907.1573768538088
763,-1351.216607654737
764,-1512.274541633562
765,-832.584561600716
766,-926.3097724182106
767,-812.7611241143044
768,-822.8598572434422
769,-805.962440698424
770,-918.5566331648316
771,-830.5907926855992
772,-996.336694630934
773,-831.2688257072257
774,-926.6649904935474
775,-926.6555944508677
776,-1620.5477721306358
777,-1460.265648443952
778,-962.6617463156269
779,-1152.706851274703
780,-1702.416525389666
781,-945.3284756899133
782,-714.7314735752666
783,-1008.9454246743061
784,-811.4336476635967
785,-834.5243614203024
786,-1162.7785816327748
787,-1668.0183780981815
788,-728.6545132772991
789,-830.7548173578217
790,-901.6664568201905
791,-1642.8351820121584
792,-741.7315705229706
793,-589.7367298581128
794,-1090.8026058709845
795,-1520.2068840916165
796,-985.8025248414916
797,-1464.55394827516
798,-820.6399612736786
799,-1471.8800770217567
800,-1115.3069186831658
801,-909.9565018389608
802,-1424.2189293404763
803,-826.1852593628901
804,-976.4510285250952
805,-1174.1722836705821
806,-777.9291407018347
807,-698.8353915149397
808,-939.0171910786279
809,-1319.4263427391531
810,-1344.3087945647235
811,-1037.8852419862783
812,-785.6097975834712
813,-939.972503727253
814,-1562.021057796496
815,-1064.64475465704
816,-940.4819699826638
817,-1666.6112306393998
818,-1452.1662961408929
819,-1164.1004854934665
820,-1237.50195982067
821,-795.2528568891819
822,-1039.7913084479173
823,-809.0403951507033
824,-1314.9648591429686
825,-822.6252242557342
826,-719.0531883303605
827,-694.5882239548164
828,-720.3061236277189
829,-1295.7481832736657
830,-1526.6379705963025
831,-1465.466012258183
832,-1495.3005458711007
833,-833.5612362543817
834,-675.8834404028993
835,-948.4774602483097
836,-929.2611996517454
837,-685.7978491791723
838,-684.0754777332406
839,-1034.5757636039707
840,-1036.208502783976
841,-810.0465775475377
842,-823.0110915300417
843,-687.6025527364918
844,-1288.8083007390408
845,-829.7706775435935
846,-1102.6095565768117
847,-855.7217644866977
848,-1298.0267258876931
849,-990.1354271609939
850,-1191.3178652259196
851,-1063.9741134119272
852,-689.2574171273504
853,-1656.9300043236033
854,-813.1357965373078
855,-1220.680046221684
856,-923.6984402467637
857,-1333.8772270508796
858,-994.5920922540428
859,-1490.1472090540017
860,-1033.0444064417477
861,-1018.1399979791817
862,-1315.8032737388112
863,-691.127416123058
864,-1281.6253277208389
865,-1341.9500169445778
866,-695.8036823100581
867,-745.7932745103461
868,-658.886325257863
869,-812.9682039388028
870,-606.5093541486525
871,-1766.5026865329223
872,-951.8035308201071
873,-1184.0070293931033
874,-1126.0243254511931
875,-1068.0582936887868
876,-933.6963120413066
877,-923.615105701622
878,-1578.1346195102064
879,-840.2017838465606
880,-822.2035465688401
881,-849.9065831779768
882,-1237.144767815926
883,-1276.9171333255442
884,-1537.486451153396
885,-835.9082278333574
886,-936.8075320937306
887,-716.832070725249
888,-791.3773953230452
889,-791.4889396896754
890,-693.7512473735101
891,-1246.612872060423
892,-1537.5765252309732
893,-1033.2781838932578
894,-809.625218685044
895,-960.9779651791572
896,-685.1695010128624
897,-1219.2944420343524
898,-1602.2762956409135
899,-570.5443422244557
900,-774.2940863242806
901,-833.5122646271308
902,-1065.0978242119527
903,-841.0650093770225
904,-749.998236299478
905,-804.632026893965
906,-799.3900715899547
907,-805.0027679374964
908,-708.8355308533116
909,-816.0686068032643
910,-1060.0845126750726
911,-924.8315977084428
912,-808.6889982130303
913,-805.2938888739844
914,-1158.4489715957698
915,-841.2424349196048
916,-947.0403473446805
917,-797.3439194189651
918,-683.4142529153013
919,-1359.6006473428158
920,-972.3188621736231
921,-843.1905845703475
922,-845.472914227686
923,-919.5779023538338
924,-1302.970540502387
925,-698.2172781197013
926,-669.0179388468176
927,-1059.2173029632088
928,-1188.441978946187
929,-1636.6163141103411
930,-1288.9076277297866
931,-955.5624857319348
932,-816.6166638289541
933,-817.4662125322078
934,-771.1793541454304
935,-955.5349674803358
936,-1088.294027088339
937,-822.7303398830132
938,-802.5872258732721
939,-970.4522254645783
940,-822.9943525137244
941,-841.4715759716775
942,-720.0345015230006
943,-1061.762032120507
944,-850.0674230982229
945,-1221.3736803727354
946,-930.9342945142251
947,-847.7116618180214
948,-705.0325904553841
949,-1193.4682900483785
950,-858.6512189450134
951,-835.6482499143533
952,-1036.4885049392024
953,-836.8617608975625
954,-1196.8272901838661
955,-877.6811092165561
956,-795.5485264328597
957,-820.0353643385196
958,-1041.5183524002705
959,-845.2865114435572
960,-933.6870056264428
961,-839.3413989165966
962,-1061.728332536338
963,-1276.8396616653692
964,-1084.159381493136
965,-950.9195381903127
966,-1218.6715566534742
967,-1168.1287600059486
968,-1301.912423863258
969,-1107.5491655121414
970,-937.1165908756473
971,-953.361591513812
972,-1034.3354981344442
973,-847.9069893619072
974,-695.2619053137718
975,-914.5879314295817
976,-1147.774449646984
977,-822.8785613289925
978,-939.8439698129991
979,-854.0961069062755
980,-808.8947460928973
981,-1278.591485008088
982,-832.094947362128
983,-860.8487044066626
984,-805.6624948503525
985,-1045.6384535829773
986,-1612.8906300151373
987,-962.7949377978646
988,-922.755474568231
989,-911.1443031015144
990,-690.3796736726961
991,-1162.7154701308468
992,-1035.4948191722337
993,-1222.9608253576437
994,-693.9196640689865
995,-1029.395227388257
996,-709.2345309382978
997,-838.0199727861336
998,-1034.2061506385164
999,-935.4598750556953
1000,-933.8626058204832
1001,-783.4898288597163
1002,-1044.8803801088757
1003,-1627.432219242614
1004,-816.1189517177843
1005,-930.0700894366807
1006,-883.2627246889111
1007,-952.1889761799061
1008,-938.6240324411632
1009,-702.205536298775
1010,-971.8195978302805
1011,-798.1218492725114
1012,-924.636750616768
1013,-1255.599826556967
1014,-1087.3593392174673
1015,-1201.4550237739825
1016,-837.8108919109836
1017,-1532.694406551773
1018,-737.3551393273185
1019,-1320.9625357505747
1020,-830.2253199594911
1021,-804.3726112631476
1022,-1330.78747304492
1023,-792.0839600453988
1024,-1525.7510466514045
1025,-833.8433266730158
1026,-1379.1890392170637
1027,-1063.8548763240985
1028,-1454.3160750128054
1029,-799.9740467754187
1030,-811.1107340345538
1031,-822.2084982898336
1032,-676.8982362366635
1033,-1309.4680321697228
1034,-807.9263769744172
1035,-693.5704955041962
1036,-1370.280348172239
1037,-1071.0364353982268
1038,-1164.0708128592732
1039,-1268.5315102155328
1040,-711.9343528137925
1041,-819.8862577931035
1042,-813.2109546492726
1043,-929.0509031058943
1044,-866.887226356135
1045,-1058.4269956073306
1046,-830.3245047016353
1047,-702.051429757143
1048,-957.4285885793017
1049,-708.1144899143425
1050,-1144.53669285552
1051,-1588.8010909990605
1052,-858.1010779218194
1053,-914.0633496455383
1054,-684.6510879333745
1055,-1253.6072721303146
1056,-848.797225807955
1057,-851.7346872627813
1058,-1144.709127395694
1059,-931.2524828175206
1060,-1053.4754331597085
1061,-743.649688278617
1062,-925.5843803997509
1063,-936.4024350187746
1064,-843.7046614892846
1065,-802.6258951563301
1066,-933.1602159971443
1067,-855.7724772828076
1068,-813.6102026098672
1069,-698.4016155355158
1070,-935.2902578794943
1071,-806.3853224914037
